Ellipsis
bf13727e-960c-485a-8bfe-59ba40f6536c,A,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot A,NE,ACTIVE,Lot A in use,423,401,12,8,401,401,12,8,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
89713c07-9fa2-4064-a53e-005fe39b1146,B,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot B,NE,ACTIVE,Lot B in use,973,924,29,19,924,924,29,19,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
c7836286-5947-4034-ae9e-016f285c6fe1,C,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot C,E,ACTIVE,Lot C in use,667,633,20,13,633,633,20,13,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
2793edb8-bce9-4154-9b85-a07d60f77b49,D,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot D,E,ACTIVE,Lot D in use,434,412,13,8,412,412,13,8,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
3ca22ec4-06c0-4554-9765-0debf10fb3fe,E,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot E,SE,ACTIVE,Lot E in use,549,521,16,10,521,521,16,10,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
1cfa787c-0e3f-41d9-8584-73c0cbe3cd78,F,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot F,S,ACTIVE,Lot F in use,1053,1000,31,21,1000,1000,31,21,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
1af55c80-5e00-4f99-8ed9-b0550d7ff016,G,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot G,S,ACTIVE,Lot G in use,425,403,12,8,403,403,12,8,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
60c97a40-d0da-4dbf-a3ee-66c5f4861b7c,H,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot H,S,ACTIVE,Lot H in use,892,847,26,17,847,847,26,17,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
2407b40a-d7bb-4b9f-969c-6e9a1ab6c120,J,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot J,SW,ACTIVE,Lot J in use,584,554,17,11,554,554,17,11,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
9fca6880-3936-49a9-85d2-4e08c53e8b60,K,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot K,W,ACTIVE,Lot K in use,1018,967,30,20,967,967,30,20,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
f0c99158-efc3-4b1b-80b3-e6a808283600,L,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot L,W,ACTIVE,Lot L in use,650,617,19,13,617,617,19,13,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
8bfdd03d-2268-4a10-bb14-f073e2bff5c5,M,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot M,NW,ACTIVE,Lot M in use,891,846,26,17,846,846,26,17,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
4301c99e-ff73-4f22-8de8-a2883f0df2a7,N,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot N,NW,ACTIVE,Lot N in use,662,628,19,13,628,628,19,13,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
3cbedf0b-eedb-4e67-983c-fc9cd1810fd3,Q,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot Q,N,ACTIVE,Lot Q in use,877,833,26,17,833,833,26,17,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
a1a29b38-1d7d-4110-b84c-5464de4ac8fe,X,24033cf9-e107-4a08-ab41-8bc324f388f8,Lot X,SW,ACTIVE,Lot X in use,902,856,27,18,856,856,27,18,2025-06-08 04:39:56.118909,2025-06-08 04:39:56.118909,system,system
