id,employee_id,event_timestamp,event_type,lot_id,created_at,created_by,updated_at,updated_by
4cd453ba-3d89-49ad-b913-7e5e8f9cb37d,O775411,2025-04-01 10:07:56,ENTRY,9fca6880-3936-49a9-85d2-4e08c53e8b60,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
1af6234f-b654-4b95-a673-089924a44f2b,O775411,2025-04-01 15:50:28,EXIT,9fca6880-3936-49a9-85d2-4e08c53e8b60,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
d4e084b3-8d6b-484b-baf2-d193384f5219,N711789,2025-04-01 11:45:14,ENTRY,1af55c80-5e00-4f99-8ed9-b0550d7ff016,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
66bef620-5fb4-4bf9-ac84-28e5008ea9ba,N711789,2025-04-01 15:08:59,EXIT,1af55c80-5e00-4f99-8ed9-b0550d7ff016,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
b3f79ef2-591b-481f-a445-5170bdcedc3d,Y735983,2025-04-01 11:23:30,ENTRY,4301c99e-ff73-4f22-8de8-a2883f0df2a7,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
ef1dfcec-4c6b-4a6c-8b43-68d6ec6bd71c,Y735983,2025-04-01 15:57:26,EXIT,4301c99e-ff73-4f22-8de8-a2883f0df2a7,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
7634931b-177d-47b7-9bc2-4433e2e7bd77,K536132,2025-04-01 09:03:31,ENTRY,3cbedf0b-eedb-4e67-983c-fc9cd1810fd3,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
8197f1da-7d60-4bd9-8040-3e1a10fe1497,K536132,2025-04-01 17:50:09,EXIT,3cbedf0b-eedb-4e67-983c-fc9cd1810fd3,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
68e0cbc9-1f11-410e-aca2-f8ef31eb95f2,E113525,2025-04-01 10:57:05,ENTRY,1af55c80-5e00-4f99-8ed9-b0550d7ff016,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
8f6b4fbe-e460-4ee3-9fc4-3219b7539ff2,E113525,2025-04-01 16:52:42,EXIT,1af55c80-5e00-4f99-8ed9-b0550d7ff016,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
1488b4d2-4414-41fd-8581-d90026f46fa8,M488528,2025-04-01 09:42:59,ENTRY,c7836286-5947-4034-ae9e-016f285c6fe1,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
6328854e-8a32-45d1-b760-cc177800e56f,M488528,2025-04-01 17:36:56,EXIT,c7836286-5947-4034-ae9e-016f285c6fe1,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
57c8e1cc-cd43-4b83-bc7d-64e1b1a71124,I220441,2025-04-01 10:50:18,ENTRY,2407b40a-d7bb-4b9f-969c-6e9a1ab6c120,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
8713cde2-827a-4133-8de9-8b7c83523642,I220441,2025-04-01 16:19:01,EXIT,2407b40a-d7bb-4b9f-969c-6e9a1ab6c120,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
d9ee4c30-14ff-4efd-9358-f4e722a086c0,M317387,2025-04-01 10:28:22,ENTRY,2793edb8-bce9-4154-9b85-a07d60f77b49,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
1729ef27-a6ed-4527-99bf-20487c1633d1,M317387,2025-04-01 15:04:17,EXIT,2793edb8-bce9-4154-9b85-a07d60f77b49,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
281f31af-a3ee-4b76-b227-f88b31506d0d,D835653,2025-04-01 11:58:18,ENTRY,3ca22ec4-06c0-4554-9765-0debf10fb3fe,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
d771344f-78df-47b2-ad35-4a682105e499,D835653,2025-04-01 16:40:33,EXIT,3ca22ec4-06c0-4554-9765-0debf10fb3fe,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
767e8a75-330d-4600-b46c-9d6c251b2702,R454455,2025-04-01 11:20:24,ENTRY,c7836286-5947-4034-ae9e-016f285c6fe1,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
6f442b4d-402f-461a-a712-3823f448cedc,R454455,2025-04-01 15:15:00,EXIT,c7836286-5947-4034-ae9e-016f285c6fe1,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
a4736751-eb9a-415e-8cfd-d07c945071bd,H030720,2025-04-01 11:34:09,ENTRY,9fca6880-3936-49a9-85d2-4e08c53e8b60,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
eac72a91-c633-4900-85fe-21473de40f3f,H030720,2025-04-01 17:13:12,EXIT,9fca6880-3936-49a9-85d2-4e08c53e8b60,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
e9265a63-35a0-4cba-a8c9-26fe5cd597e8,H713520,2025-04-01 10:03:36,ENTRY,2793edb8-bce9-4154-9b85-a07d60f77b49,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
c85ed55d-80a9-4f91-911d-58f392a19cb3,H713520,2025-04-01 16:35:37,EXIT,2793edb8-bce9-4154-9b85-a07d60f77b49,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
c9f6e41a-b4f5-417e-8750-ae8444855cea,X865075,2025-04-01 11:05:51,ENTRY,9fca6880-3936-49a9-85d2-4e08c53e8b60,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
1c972b2b-f213-4440-af5d-c865fe2704d2,X865075,2025-04-01 17:24:12,EXIT,9fca6880-3936-49a9-85d2-4e08c53e8b60,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
d0ee32e2-02fb-45f4-a7b2-5192edcdf246,P091281,2025-04-01 09:02:12,ENTRY,89713c07-9fa2-4064-a53e-005fe39b1146,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
