id,event_timestamp,event_type,sensor_id,parking_tag,created_at,created_by,updated_at,updated_by
36d37fcb-1694-4377-8058-eae493fc8b05,2025-04-01 10:07:56,OCCUPIED,7187fa28-d4cd-48cd-85c8-687786938b91,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
f1c61098-dd56-4f6f-8e0f-b01c07499d06,2025-04-01 15:50:28,VACANT,7187fa28-d4cd-48cd-85c8-687786938b91,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
95d9b208-636c-42d4-ad3e-a9cb088d8218,2025-04-01 11:45:14,OCCUPIED,f922bdbc-03ce-4d44-9968-7917538fc0ec,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
dbd5a702-9625-4dbd-82e7-768c620404af,2025-04-01 15:08:59,VACANT,f922bdbc-03ce-4d44-9968-7917538fc0ec,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
c0867928-8f3a-429c-ae38-3b8e31d6e006,2025-04-01 11:23:30,OCCUPIED,25d5185b-603a-4b91-b823-dce2209d485d,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
80935c44-43bd-4305-b26a-3ab50335280a,2025-04-01 15:57:26,VACANT,25d5185b-603a-4b91-b823-dce2209d485d,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
f488e6bd-e2e1-4a2a-ae69-4e6f66d78767,2025-04-01 09:03:31,OCCUPIED,1b121e73-6521-4f01-8a3d-94e7890d411c,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
ce24622b-885f-47ec-9c61-0f79bdbbe2ce,2025-04-01 17:50:09,VACANT,1b121e73-6521-4f01-8a3d-94e7890d411c,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
655f1a82-709b-48ca-a1be-39f0bfe9ea3a,2025-04-01 10:57:05,OCCUPIED,361b79bf-7765-490f-b196-d24f12bfaaea,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
0c9deb93-e699-4fd7-95d0-94d767fde74f,2025-04-01 16:52:42,VACANT,361b79bf-7765-490f-b196-d24f12bfaaea,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
6d6f3520-8e05-4f9c-8e85-2de8a7b222e3,2025-04-01 09:42:59,OCCUPIED,d370e4fc-06dc-43f0-9c39-d3ce2308414e,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
e2c2ba4e-aca9-437d-84e3-d2db5932d148,2025-04-01 17:36:56,VACANT,d370e4fc-06dc-43f0-9c39-d3ce2308414e,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
447160ee-d7e1-4da0-843e-dcb9af85ceab,2025-04-01 10:50:18,OCCUPIED,96409e0d-8d79-4826-aa0b-221dde9d3634,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
faa70e62-30fe-4b26-8849-9bd3792b8f53,2025-04-01 16:19:01,VACANT,96409e0d-8d79-4826-aa0b-221dde9d3634,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
ba2e41ac-5448-471f-8ad2-55f6e4f8fa03,2025-04-01 10:28:22,OCCUPIED,6052545e-4299-46fc-8e60-8af3f31d4514,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
3fdf2c93-302c-4789-a266-df77382afbd2,2025-04-01 15:04:17,VACANT,6052545e-4299-46fc-8e60-8af3f31d4514,,2025-06-08 21:07:00.868291,system,2025-06-08 21:07:00.868291,system
